LR,Hidden_Dim,Epochs,Reg,Batch_Size,Activation,Dropout_p,Val_Accuracy
0.05,128,10,0.0001,300,ReLU,0.8,0.8613
0.05,128,10,0.0001,300,ReLU,0.5,0.8596
0.05,128,10,0.0001,300,ReLU,1.0,0.8611
0.05,128,10,0.0001,300,Sigmoid,0.8,0.8131
0.05,128,10,0.0001,300,Sigmoid,0.5,0.8087
0.05,128,10,0.0001,300,Sigmoid,1.0,0.8121
0.05,128,10,0.0001,300,Leaky ReLU,0.8,0.8611
0.05,128,10,0.0001,300,Leaky ReLU,0.5,0.8590
0.05,128,10,0.0001,300,Leaky ReLU,1.0,0.8609
0.05,128,10,0.001,100,ReLU,0.8,0.8753
0.05,128,10,0.001,100,ReLU,0.5,0.8752
0.05,128,10,0.001,100,ReLU,1.0,0.8750
0.05,128,10,0.001,100,Sigmoid,0.8,0.8526
0.05,128,10,0.001,100,Sigmoid,0.5,0.8509
0.05,128,10,0.001,100,Sigmoid,1.0,0.8535
0.05,128,10,0.001,100,Leaky ReLU,0.8,0.8746
0.05,128,10,0.001,100,Leaky ReLU,0.5,0.8756
0.05,128,10,0.001,100,Leaky ReLU,1.0,0.8755
0.05,128,10,0.001,200,ReLU,0.8,0.8683
0.05,128,10,0.001,200,ReLU,0.5,0.8669
0.05,128,10,0.001,200,ReLU,1.0,0.8696
0.05,128,10,0.001,200,Sigmoid,0.8,0.8346
0.05,128,10,0.001,200,Sigmoid,0.5,0.8279
0.05,128,10,0.001,200,Sigmoid,1.0,0.8348
0.05,128,10,0.001,200,Leaky ReLU,0.8,0.8679
0.05,128,10,0.001,200,Leaky ReLU,0.5,0.8671
0.05,128,10,0.001,200,Leaky ReLU,1.0,0.8696
0.05,128,10,0.001,300,ReLU,0.8,0.8600
0.05,128,10,0.001,300,ReLU,0.5,0.8586
0.05,128,10,0.001,300,ReLU,1.0,0.8599
0.05,128,10,0.001,300,Sigmoid,0.8,0.8124
0.05,128,10,0.001,300,Sigmoid,0.5,0.8071
0.05,128,10,0.001,300,Sigmoid,1.0,0.8106
0.05,128,10,0.001,300,Leaky ReLU,0.8,0.8604
0.05,128,10,0.001,300,Leaky ReLU,0.5,0.8586
0.05,128,10,0.001,300,Leaky ReLU,1.0,0.8598
0.05,128,10,0.005,100,ReLU,0.8,0.8695
0.05,128,10,0.005,100,ReLU,0.5,0.8708
0.05,128,10,0.005,100,ReLU,1.0,0.8713
0.05,128,10,0.005,100,Sigmoid,0.8,0.8447
0.05,128,10,0.005,100,Sigmoid,0.5,0.8429
0.05,128,10,0.005,100,Sigmoid,1.0,0.8457
0.05,128,10,0.005,100,Leaky ReLU,0.8,0.8698
0.05,128,10,0.005,100,Leaky ReLU,0.5,0.8711
0.05,128,10,0.005,100,Leaky ReLU,1.0,0.8715
0.05,128,10,0.005,200,ReLU,0.8,0.8641
0.05,128,10,0.005,200,ReLU,0.5,0.8638
0.05,128,10,0.005,200,ReLU,1.0,0.8650
0.05,128,10,0.005,200,Sigmoid,0.8,0.8266
0.05,128,10,0.005,200,Sigmoid,0.5,0.8202
0.05,128,10,0.005,200,Sigmoid,1.0,0.8279
0.05,128,10,0.005,200,Leaky ReLU,0.8,0.8641
0.05,128,10,0.005,200,Leaky ReLU,0.5,0.8638
0.05,128,10,0.005,200,Leaky ReLU,1.0,0.8654
0.05,128,10,0.005,300,ReLU,0.8,0.8582
0.05,128,10,0.005,300,ReLU,0.5,0.8556
0.05,128,10,0.005,300,ReLU,1.0,0.8582
0.05,128,10,0.005,300,Sigmoid,0.8,0.8066
0.05,128,10,0.005,300,Sigmoid,0.5,0.8023
0.05,128,10,0.005,300,Sigmoid,1.0,0.8037
0.05,128,10,0.005,300,Leaky ReLU,0.8,0.8579
0.05,128,10,0.005,300,Leaky ReLU,0.5,0.8561
0.05,128,10,0.005,300,Leaky ReLU,1.0,0.8580
0.05,128,20,0.0001,100,ReLU,0.8,0.8813
0.05,128,20,0.0001,100,ReLU,0.5,0.8791
0.05,128,20,0.0001,100,ReLU,1.0,0.8807
0.05,128,20,0.0001,100,Sigmoid,0.8,0.8679
0.05,128,20,0.0001,100,Sigmoid,0.5,0.8645
0.05,128,20,0.0001,100,Sigmoid,1.0,0.8712
0.05,128,20,0.0001,100,Leaky ReLU,0.8,0.8803
0.05,128,20,0.0001,100,Leaky ReLU,0.5,0.8788
0.05,128,20,0.0001,100,Leaky ReLU,1.0,0.8817
0.05,128,20,0.0001,200,ReLU,0.8,0.8784
0.05,128,20,0.0001,200,ReLU,0.5,0.8771
0.05,128,20,0.0001,200,ReLU,1.0,0.8781
0.05,128,20,0.0001,200,Sigmoid,0.8,0.8559
0.05,128,20,0.0001,200,Sigmoid,0.5,0.8522
0.05,128,20,0.0001,200,Sigmoid,1.0,0.8574
0.05,128,20,0.0001,200,Leaky ReLU,0.8,0.8782
0.05,128,20,0.0001,200,Leaky ReLU,0.5,0.8771
0.05,128,20,0.0001,200,Leaky ReLU,1.0,0.8780
0.05,128,20,0.0001,300,ReLU,0.8,0.8739
0.05,128,20,0.0001,300,ReLU,0.5,0.8709
0.05,128,20,0.0001,300,ReLU,1.0,0.8762
0.05,128,20,0.0001,300,Sigmoid,0.8,0.8468
0.05,128,20,0.0001,300,Sigmoid,0.5,0.8403
0.05,128,20,0.0001,300,Sigmoid,1.0,0.8492
0.05,128,20,0.0001,300,Leaky ReLU,0.8,0.8741
0.05,128,20,0.0001,300,Leaky ReLU,0.5,0.8713
0.05,128,20,0.0001,300,Leaky ReLU,1.0,0.8755
0.05,128,20,0.001,100,ReLU,0.8,0.8796
0.05,128,20,0.001,100,ReLU,0.5,0.8789
0.05,128,20,0.001,100,ReLU,1.0,0.8826
0.05,128,20,0.001,100,Sigmoid,0.8,0.8645
0.05,128,20,0.001,100,Sigmoid,0.5,0.8618
0.05,128,20,0.001,100,Sigmoid,1.0,0.8661
0.05,128,20,0.001,100,Leaky ReLU,0.8,0.8803
0.05,128,20,0.001,100,Leaky ReLU,0.5,0.8782
0.05,128,20,0.001,100,Leaky ReLU,1.0,0.8807
0.05,128,20,0.001,200,ReLU,0.8,0.8789
0.05,128,20,0.001,200,ReLU,0.5,0.8748
0.05,128,20,0.001,200,ReLU,1.0,0.8785
0.05,128,20,0.001,200,Sigmoid,0.8,0.8547
0.05,128,20,0.001,200,Sigmoid,0.5,0.8497
0.05,128,20,0.001,200,Sigmoid,1.0,0.8554
0.05,128,20,0.001,200,Leaky ReLU,0.8,0.8792
0.05,128,20,0.001,200,Leaky ReLU,0.5,0.8754
0.05,128,20,0.001,200,Leaky ReLU,1.0,0.8771
0.05,128,20,0.001,300,ReLU,0.8,0.8730
0.05,128,20,0.001,300,ReLU,0.5,0.8711
0.05,128,20,0.001,300,ReLU,1.0,0.8749
